name,time,level description,location,water_level
h2o_feet,1566067680000000000,between 3 and 6 feet,santa_monica,4.826
h2o_feet,1566068040000000000,between 3 and 6 feet,coyote_creek,3.537
h2o_feet,1566068040000000000,between 3 and 6 feet,santa_monica,4.711
h2o_feet,1566068400000000000,between 3 and 6 feet,coyote_creek,3.691
h2o_feet,1566068400000000000,between 3 and 6 feet,santa_monica,4.715
h2o_feet,1566068760000000000,between 3 and 6 feet,coyote_creek,3.848
h2o_feet,1566068760000000000,between 3 and 6 feet,santa_monica,4.865
h2o_feet,1566069120000000000,between 3 and 6 feet,coyote_creek,4.016
h2o_feet,1566069120000000000,between 3 and 6 feet,santa_monica,4.948
h2o_feet,1566069480000000000,between 3 and 6 feet,coyote_creek,4.186
h2o_feet,1566069480000000000,between 3 and 6 feet,santa_monica,4.984
h2o_feet,1566069840000000000,between 3 and 6 feet,coyote_creek,4.35
h2o_feet,1566069840000000000,between 3 and 6 feet,santa_monica,4.954
h2o_feet,1566070200000000000,between 3 and 6 feet,coyote_creek,4.531
h2o_feet,1566070200000000000,between 3 and 6 feet,santa_monica,4.879
h2o_feet,1566070560000000000,between 3 and 6 feet,coyote_creek,4.721
h2o_feet,1566070560000000000,between 3 and 6 feet,santa_monica,4.856
h2o_feet,1566070920000000000,between 3 and 6 feet,coyote_creek,4.898
h2o_feet,1566070920000000000,between 3 and 6 feet,santa_monica,4.918
